snapshot_id	source_id	dataset_version	source_url	acquired_at	local_path	sha256	file_format	notes
istat_admin_2026_generalized	istat_admin_2026_lombardia	2026-01-01	https://www.istat.it/storage/cartografia/confini_amministrativi/generalizzati/2026/Limiti01012026_g.zip	2026-08-16	raw/sources/istat/Limiti01012026_g.zip	B011A590656C3A3EBC297FBA80726A376AA843B6F164641CF6A4A990021A81D6	ZIP	Raw escluso da Git; DBF letto Latin-1 per anomalia di codifica documentata; output EPSG:4326
ar_iss_2024_lombardia	ar_iss_2024_lombardia	RIS-5/2025	https://www.epicentro.iss.it/antibiotico-resistenza/ar-iss/RIS-5_2025.pdf	2026-08-16	raw/sources/ar_iss/RIS-5_2025.pdf	50174DC846E19C6EAD2EA4D55982FC098487251A5EDAB8D484D6101B31482F0F	PDF	Dati 2024; pagina report 47, Appendice A Regione Lombardia
aifa_osmed_2024_lombardia	aifa_osmed_2024_lombardia	2024	https://www.aifa.gov.it/documents/20142/3610201/Lombardia_Osmed_2024.pdf	2026-08-16	raw/sources/aifa/Lombardia_Osmed_2024.pdf	4D9B69A4CA5B93D10BDE7478B324F1D7C2DBEAFA4D55F9B2380EB81F0578B406	PDF	Rapporto 2026 su dati 2024; dati sorgente aggiornati al 26 aprile 2025
regione_lombardia_aware_2025	regione_lombardia_aware_2025	2025/report 2026-01-22	https://www.regione.lombardia.it/content/dam/rl/canali-tematici-servizi/01-sanita/05-prevenzione-e-stili-di-vita/red-antimicrobico-resistenza/allegati/2026_01_22%20Report%20AWaRe%202025.pdf	2026-08-16	raw/sources/regione_lombardia/Report_AWaRe_2025_acquired_20260816.pdf	C838FCAE41CA294CF10469155CCF85F56C4B1C4890C4F5F45FDA14E942A033C6	PDF	Tabelle ASST verificate; grafici regionali non trascritti
regione_lombardia_pps3	regione_lombardia_pps3	PPS-3 dati 2022	https://www.regione.lombardia.it/content/dam/rl/canali-tematici-servizi/01-sanita/05-prevenzione-e-stili-di-vita/red-antimicrobico-resistenza/allegati/REPORT%2BPPS-3.pdf	2026-08-16	raw/sources/regione_lombardia/REPORT_PPS-3_acquired_20260816.pdf	98ADCA74D6C3DC980EEA359EDE9FC2BDCFF52B5D1E7D58B7F6A810FB5927A4D9	PDF	Aggregati da pagine 9-12 25 64-66
arpa_sire_consuntivi_2025	arpa_lombardia_sire_2025_summary	2025	https://sireacque.arpalombardia.it/download/Consuntivi_2025.zip	2026-08-16	raw/sources/arpa_lombardia/SIRe_Consuntivi_2025_acquired_20260816.zip	5365758D8B5A2A87AE1A0A3332FC7EFB848DE31003CD3378203B2C61C2FBFE74	ZIP	23 PDF provinciali per classi di carico
arpa_sire_comprehensive_2025	arpa_lombardia_sire_2025_summary	2025	https://sireacque.arpalombardia.it/download/Dati%20complessivi%20conformit%C3%A0%20e%20valutazioni_2025.zip	2026-08-16	raw/sources/arpa_lombardia/SIRe_Dati_complessivi_conformita_2025_acquired_20260816.zip	CA43641868FC330C630E85AEEB12D5A787ABC0FA3A44D93199A96F3F8BFFF30A	ZIP/XLSX	1513 righe dati e 73 colonne; analizzato in sola lettura
regione_lombardia_hydrography_20260816	regione_lombardia_hydrography	snapshot 2026-08-16	https://www.cartografia.servizirl.it/download/opendata/reticolo_idrografico_regionale_unificato.zip	2026-08-16	raw/sources/arpa_lombardia/reticolo_idrografico_regionale_unificato_acquired_20260816.zip	26A00690F061377B464FCED6D796867FFE374A18C3EBAD53A52CC86A450BA889	ZIP/SHP	EPSG:32632; AIPO 76 RIP 899 RIB 20979 RIM 44837
